FEN,Evaluation,eval,
1rb2bk1/p1p2p1p/4rp2/3p4/8/1P1pPN1P/PB1P1PP1/R4RK1 b - - 3 19,0,0,
1r3bk1/p1p2p1p/b3rp2/3p4/8/1P1pPN1P/PB1P1PP1/R4RK1 w - - 4 20,104,0.416,
1r3bk1/p1p2p1p/b3rp2/3p4/8/1P1pPN1P/PB1P1PP1/R1R3K1 b - - 5 20,75,0.3,
5bk1/prp2p1p/b3rp2/3p4/8/1P1pPN1P/PB1P1PP1/R1R3K1 w - - 6 21,169,0.676,
5bk1/prp2p1p/b3rp2/3p4/3N4/1P1pP2P/PB1P1PP1/R1R3K1 b - - 7 21,140,0.56,
5bk1/prp2p1p/br3p2/3p4/3N4/1P1pP2P/PB1P1PP1/R1R3K1 w - - 8 22,206,0.824,
5bk1/prp2p1p/br3p2/3p4/8/1P1pPN1P/PB1P1PP1/R1R3K1 b - - 9 22,61,0.244,
5bk1/prp2p1p/1r3p2/1b1p4/8/1P1pPN1P/PB1P1PP1/R1R3K1 w - - 10 23,202,0.808,
5bk1/prp2p1p/1r3p2/1b1p4/3B4/1P1pPN1P/P2P1PP1/R1R3K1 b - - 11 23,188,0.752,
6k1/prp2p1p/1r3p2/1b1p4/3B4/bP1pPN1P/P2P1PP1/R1R3K1 w - - 12 24,252,1.008,
6k1/prp2p1p/1B3p2/1b1p4/8/bP1pPN1P/P2P1PP1/R1R3K1 b - - 0 24,185,0.74,
6k1/1rp2p1p/1p3p2/1b1p4/8/bP1pPN1P/P2P1PP1/R1R3K1 w - - 0 25,248,0.992,
6k1/1rp2p1p/1p3p2/1b1p4/3N4/bP1pP2P/P2P1PP1/R1R3K1 b - - 1 25,114,0.456,
6k1/1rp2p1p/1p3p2/1b1p4/3N4/1P1pP2P/P2P1PP1/R1b3K1 w - - 0 26,175,0.7,
6k1/1rp2p1p/1p3p2/1b1p4/3N4/1P1pP2P/P2P1PP1/2R3K1 b - - 0 26,115,0.46,
6k1/1rpb1p1p/1p3p2/3p4/3N4/1P1pP2P/P2P1PP1/2R3K1 w - - 1 27,168,0.672,
6k1/1rpb1p1p/1p3p2/3p4/3N4/1PRpP2P/P2P1PP1/6K1 b - - 2 27,62,0.248,
6k1/1r1b1p1p/1p3p2/2pp4/3N4/1PRpP2P/P2P1PP1/6K1 w - - 0 28,148,0.592,
6k1/1r1b1p1p/1p3p2/2pp4/8/1PRpPN1P/P2P1PP1/6K1 b - - 1 28,124,0.496,
6k1/1r3p1p/1p3p2/1bpp4/8/1PRpPN1P/P2P1PP1/6K1 w - - 2 29,148,0.592,
6k1/1r3p1p/1p3p2/1bpp4/P7/1PRpPN1P/3P1PP1/6K1 b - - 0 29,108,0.432,
6k1/1r3p1p/bp3p2/2pp4/P7/1PRpPN1P/3P1PP1/6K1 w - - 1 30,153,0.612,
6k1/1r3p1p/bp3p2/2pp4/PP6/2RpPN1P/3P1PP1/6K1 b - - 0 30,0,0,
6k1/1r3p1p/1p3p2/2pp4/PPb5/2RpPN1P/3P1PP1/6K1 w - - 1 31,27,0.108,
6k1/1r3p1p/1p3p2/2Pp4/P1b5/2RpPN1P/3P1PP1/6K1 b - - 0 31,13,0.052,
6k1/1r3p1p/5p2/2pp4/P1b5/2RpPN1P/3P1PP1/6K1 w - - 0 32,13,0.052,
6k1/1r3p1p/5p2/2pp4/P1b5/2RpPN1P/3P1PPK/8 b - - 1 32,0,0,
6k1/5p1p/5p2/2pp4/P1b5/2RpPN1P/1r1P1PPK/8 w - - 2 33,50,0.2,
6k1/5p1p/5p2/2pp4/P1b5/2RpPNKP/1r1P1PP1/8 b - - 3 33,0,0,
6k1/5p1p/5p2/2pp4/P1b5/2RpPNKP/2rP1PP1/8 w - - 4 34,13,0.052,
6k1/5p1p/5p2/2pp4/P1b2K2/2RpPN1P/2rP1PP1/8 b - - 5 34,-68,-0.272,
5k2/5p1p/5p2/2pp4/P1b2K2/2RpPN1P/2rP1PP1/8 w - - 6 35,37,0.148,
5k2/5p1p/5p2/2pp4/P1b2KP1/2RpPN1P/2rP1P2/8 b - - 0 35,-70,-0.28,
5k2/5p2/5p1p/2pp4/P1b2KP1/2RpPN1P/2rP1P2/8 w - - 0 36,0,0,
5k2/5p2/5p1p/2pp4/P1b2KPP/2RpPN2/2rP1P2/8 b - - 0 36,-97,-0.388,
8/4kp2/5p1p/2pp4/P1b2KPP/2RpPN2/2rP1P2/8 w - - 1 37,0,0,
8/4kp2/5p1p/2pp1K2/P1b3PP/2RpPN2/2rP1P2/8 b - - 2 37,-151,-0.604,
8/4kp2/b4p1p/2pp1K2/P5PP/2RpPN2/2rP1P2/8 w - - 3 38,-62,-0.248,
8/4kp2/b4p1p/2pp1KP1/P6P/2RpPN2/2rP1P2/8 b - - 0 38,-210,-0.84,
8/4kp2/b6p/2pp1Kp1/P6P/2RpPN2/2rP1P2/8 w - - 0 39,-182,-0.728,
8/4kp2/b6p/2pp1KP1/P7/2RpPN2/2rP1P2/8 b - - 0 39,-248,-0.992,
8/4kp2/b7/2pp1KPp/P7/2RpPN2/2rP1P2/8 w - - 0 40,-151,-0.604,
8/4kp2/b7/2pp1KPp/P7/1R1pPN2/2rP1P2/8 b - - 1 40,-276,-1.104,
8/4kp2/b7/3p1KPp/P1p5/1R1pPN2/2rP1P2/8 w - - 0 41,-218,-0.872,
8/4kp2/b7/3p1KPp/P1p5/R2pPN2/2rP1P2/8 b - - 1 41,-266,-1.064,
8/4kp2/b7/5KPp/P1pp4/R2pPN2/2rP1P2/8 w - - 0 42,-113,-0.452,
8/4kp2/b7/5KPp/P1pP4/R2p1N2/2rP1P2/8 b - - 0 42,-340,-1.36,
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R b KQkq - 0 4,-45,-0.18,
r1bqk2r/pppp1ppp/2n2n2/4p3/1bP1P3/2N2N2/PP1P1PPP/R1BQKB1R w KQkq - 1 5,19,0.076,
r1bqk2r/pppp1ppp/2n2n2/4p3/1bP1P3/2NP1N2/PP3PPP/R1BQKB1R b KQkq - 0 5,-41,-0.164,
r1bq1rk1/pppp1ppp/2n2n2/4p3/1bP1P3/2NP1N2/PP3PPP/R1BQKB1R w KQ - 1 6,15,0.06,
r1bq1rk1/pppp1ppp/2n2n2/4p3/1bP1P3/2NP1NP1/PP3P1P/R1BQKB1R b KQ - 0 6,-43,-0.172,
r1bq1rk1/ppp2ppp/2np1n2/4p3/1bP1P3/2NP1NP1/PP3P1P/R1BQKB1R w KQ - 0 7,27,0.108,
r1bq1rk1/ppp2ppp/2np1n2/4p3/1bP1P3/2NP1NP1/PP3PBP/R1BQK2R b KQ - 1 7,-35,-0.14,
r2q1rk1/ppp2ppp/2np1n2/4p3/1bP1P1b1/2NP1NP1/PP3PBP/R1BQK2R w KQ - 2 8,38,0.152,
r2q1rk1/ppp2ppp/2np1n2/4p3/1bP1P1b1/2NP1NPP/PP3PB1/R1BQK2R b KQ - 0 8,-25,-0.1,
r2q1rk1/ppp2ppp/2np1n2/4p3/1bP1P3/2NP1bPP/PP3PB1/R1BQK2R w KQ - 0 9,43,0.172,
r2q1rk1/ppp2ppp/2np1n2/4p3/1bP1P3/2NP1BPP/PP3P2/R1BQK2R b KQ - 0 9,-41,-0.164,
r2q1rk1/ppp2ppp/3p1n2/4p3/1bPnP3/2NP1BPP/PP3P2/R1BQK2R w KQ - 1 10,45,0.18,
r2q1rk1/ppp2ppp/3p1n2/4p3/1bPnP3/2NP2PP/PP3PB1/R1BQK2R b KQ - 2 10,-16,-0.064,
r2q1rk1/1pp2ppp/3p1n2/p3p3/1bPnP3/2NP2PP/PP3PB1/R1BQK2R w KQ - 0 11,30,0.12,
r2q1rk1/1pp2ppp/3p1n2/p3p3/1bPnP3/2NP2PP/PP3PB1/R1BQ1RK1 b - - 1 11,-16,-0.064,
r2q1rk1/1p3ppp/2pp1n2/p3p3/1bPnP3/2NP2PP/PP3PB1/R1BQ1RK1 w - - 0 12,30,0.12,
r2q1rk1/1p3ppp/2pp1n2/p3p3/1bPnP3/2NPB1PP/PP3PB1/R2Q1RK1 b - - 1 12,-46,-0.184,
r2q1rk1/1p3ppp/2pp1n2/p1b1p3/2PnP3/2NPB1PP/PP3PB1/R2Q1RK1 w - - 2 13,27,0.108,
r2q1rk1/1p3ppp/2pp1n2/p1b1p3/2PnP3/2NPB1PP/PP3PBK/R2Q1R2 b - - 3 13,-36,-0.144,
r2q1rk1/1p3ppp/2ppnn2/p1b1p3/2P1P3/2NPB1PP/PP3PBK/R2Q1R2 w - - 4 14,0,0,
r2q1rk1/1p3ppp/2ppnn2/p1b1p3/2P1P3/2NPB1PP/PP1Q1PBK/R4R2 b - - 5 14,-66,-0.264,
r4rk1/1p2qppp/2ppnn2/p1b1p3/2P1P3/2NPB1PP/PP1Q1PBK/R4R2 w - - 6 15,0,0,
r4rk1/1p2qppp/2ppnn2/p1b1p3/2P1P3/3PB1PP/PP1QNPBK/R4R2 b - - 7 15,-52,-0.208,
r4rk1/1p2qppp/2ppnn2/p3p3/2P1P3/3Pb1PP/PP1QNPBK/R4R2 w - - 0 16,0,0,
r4rk1/1p2qppp/2ppnn2/p3p3/2P1P3/3PQ1PP/PP2NPBK/R4R2 b - - 0 16,-57,-0.228,
r4rk1/1p2qppp/3pnn2/p1p1p3/2P1P3/3PQ1PP/PP2NPBK/R4R2 w - - 0 17,4,0.016,
r4rk1/1p2qppp/3pnn2/p1p1p3/2P1P3/3P2PP/PP1QNPBK/R4R2 b - - 1 17,-55,-0.22,
r3nrk1/1p2qppp/3pn3/p1p1p3/2P1P3/3P2PP/PP1QNPBK/R4R2 w - - 2 18,48,0.192,
r3nrk1/1p2qppp/3pn3/p1p1p3/2P1P3/3P2PP/PP1QNPBK/4RR2 b - - 3 18,-38,-0.152,
r4rk1/1pn1qppp/3pn3/p1p1p3/2P1P3/3P2PP/PP1QNPBK/4RR2 w - - 4 19,60,0.24,
r4rk1/1pn1qppp/3pn3/p1p1p3/2P1P3/2NP2PP/PP1Q1PBK/4RR2 b - - 5 19,0,0,
r4rk1/1pn1qppp/3pn3/2p1p3/p1P1P3/2NP2PP/PP1Q1PBK/4RR2 w - - 0 20,47,0.188,
r4rk1/1pn1qppp/3pn3/2p1p3/p1P1PP2/2NP2PP/PP1Q2BK/4RR2 b - - 0 20,-12,-0.048,
r4rk1/1pn1qppp/3p4/2p1p3/p1PnPP2/2NP2PP/PP1Q2BK/4RR2 w - - 1 21,76,0.304,
r4rk1/1pn1qppp/3p4/2p1p3/p1PnPP2/2NP2PP/PP4BK/3QRR2 b - - 2 21,-57,-0.228,
r4rk1/1pnq1ppp/3p4/2p1p3/p1PnPP2/2NP2PP/PP4BK/3QRR2 w - - 3 22,41,0.164,
r4rk1/1pnq1ppp/3p4/2p1P3/p1PnP3/2NP2PP/PP4BK/3QRR2 b - - 0 22,-13,-0.052,
r4rk1/1pnq1ppp/8/2p1p3/p1PnP3/2NP2PP/PP4BK/3QRR2 w - - 0 23,23,0.092,
r4rk1/1pnq1ppp/8/2pNp3/p1PnP3/3P2PP/PP4BK/3QRR2 b - - 1 23,-49,-0.196,
5rk1/1pnq1ppp/r7/2pNp3/p1PnP3/3P2PP/PP4BK/3QRR2 w - - 2 24,24,0.096,
5rk1/1pnq1ppp/r7/2pNp3/p1PnP3/3P2PP/PP3RBK/3QR3 b - - 3 24,-48,-0.192,
5rk1/2nq1ppp/r7/1ppNp3/p1PnP3/3P2PP/PP3RBK/3QR3 w - - 0 25,65,0.26,
5rk1/2nq1ppp/r7/1ppNp2Q/p1PnP3/3P2PP/PP3RBK/4R3 b - - 1 25,-39,-0.156,
5rk1/2nq2pp/r4p2/1ppNp2Q/p1PnP3/3P2PP/PP3RBK/4R3 w - - 0 26,0,0,
5rk1/2nq2pp/r4p2/1ppNp2Q/p1PnP3/3P2PP/PP3RBK/5R2 b - - 1 26,-72,-0.288,
1r4k1/2nq2pp/r4p2/1ppNp2Q/p1PnP3/3P2PP/PP3RBK/5R2 w - - 2 27,25,0.1,
1r4k1/2nq2pp/r4p2/1ppNp2Q/p1PnP2P/3P2P1/PP3RBK/5R2 b - - 0 27,-142,-0.568,
1r4k1/2nq2pp/r4p2/2pNp2Q/p1pnP2P/3P2P1/PP3RBK/5R2 w - - 0 28,-120,-0.48,
1r4k1/2nq2pp/r4p2/2pNp2Q/p1PnP2P/6P1/PP3RBK/5R2 b - - 0 28,-119,-0.476,
1r4k1/3q2pp/r4p2/2pnp2Q/p1PnP2P/6P1/PP3RBK/5R2 w - - 0 29,-99,-0.396,
1r4k1/3q2pp/r4p2/2pPp2Q/p1Pn3P/6P1/PP3RBK/5R2 b - - 0 29,-217,-0.868,
1r4k1/3q3p/r4pp1/2pPp2Q/p1Pn3P/6P1/PP3RBK/5R2 w - - 0 30,-193,-0.772,
1r4k1/3q3p/r4ppQ/2pPp3/p1Pn3P/6P1/PP3RBK/5R2 b - - 1 30,-232,-0.928,
1r4k1/3q3p/r5pQ/2pPpp2/p1Pn3P/6P1/PP3RBK/5R2 w - - 0 31,-207,-0.828,
1r4k1/3q3p/r2P2pQ/2p1pp2/p1Pn3P/6P1/PP3RBK/5R2 b - - 0 31,-281,-1.124,
1r4k1/3q3p/3r2pQ/2p1pp2/p1Pn3P/6P1/PP3RBK/5R2 w - - 0 32,-308,-1.232,
1r4k1/3q3p/3r2pQ/2pBpp2/p1Pn3P/6P1/PP3R1K/5R2 b - - 1 32,-266,-1.064,
1r5k/3q3p/3r2pQ/2pBpp2/p1Pn3P/6P1/PP3R1K/5R2 w - - 2 33,-300,-1.2,
1r5k/3q3p/3r2pQ/2pBpp2/p1Pn3P/6P1/PP3R1K/4R3 b - - 3 33,-304,-1.216,
1r5k/4q2p/3r2pQ/2pBpp2/p1Pn3P/6P1/PP3R1K/4R3 w - - 4 34,-250,-1,
1r5k/4q2p/3r2p1/2pBpp2/p1Pn3P/4Q1P1/PP3R1K/4R3 b - - 5 34,-392,-1.568,
1r5k/4q2p/3r2p1/2pB1p2/p1Pnp2P/4Q1P1/PP3R1K/4R3 w - - 0 35,-350,-1.4,
1r5k/4q2p/3r2pQ/2pB1p2/p1Pnp2P/6P1/PP3R1K/4R3 b - - 1 35,-431,-1.724,
1r5k/6qp/3r2pQ/2pB1p2/p1Pnp2P/6P1/PP3R1K/4R3 w - - 2 36,-360,-1.44,
1r5k/6qp/3r2p1/2pB1pQ1/p1Pnp2P/6P1/PP3R1K/4R3 b - - 3 36,-709,-2.836,
7k/6qp/3r2p1/2pB1pQ1/p1Pnp2P/6P1/Pr3R1K/4R3 w - - 0 37,-576,-2.304,
7k/6qp/3r2p1/2pB1pQ1/p1Pnp2P/6P1/PR5K/4R3 b - - 0 37,-2274,-9.096,
7k/6qp/3r2p1/2pB1pQ1/p1P1p2P/5nP1/PR5K/4R3 w - - 1 38,-6792,-27.168,
7k/6qp/3r2p1/2pB1pQ1/p1P1p2P/5nP1/PR6/4R2K b - - 2 38,-1000004,-4000.016,
7k/7p/3r2p1/2pB1pQ1/p1P1p2P/5nP1/Pq6/4R2K w - - 0 39,-1000003,-4000.012,
r1bq1rk1/p3bppp/1pn1pn2/8/3P4/P1N2N2/1PB2PPP/R1BQR1K1 b - - 1 12,4,0.016,
r2q1rk1/p3bppp/bpn1pn2/8/3P4/P1N2N2/1PB2PPP/R1BQR1K1 w - - 2 13,0,0,
r2q1rk1/p3bppp/bpn1pn2/8/1P1P4/P1N2N2/2B2PPP/R1BQR1K1 b - - 0 13,-65,-0.26,
2rq1rk1/p3bppp/bpn1pn2/8/1P1P4/P1N2N2/2B2PPP/R1BQR1K1 w - - 1 14,0,0,
2rq1rk1/p3bppp/bpn1pn2/8/1P1P4/P1N2N2/1BB2PPP/R2QR1K1 b - - 2 14,-51,-0.204,
2rq1rk1/p3bppp/bpn1p3/3n4/1P1P4/P1N2N2/1BB2PPP/R2QR1K1 w - - 3 15,323,1.292,
2rq1rk1/p3bppp/bpn1p3/1P1n4/3P4/P1N2N2/1BB2PPP/R2QR1K1 b - - 0 15,252,1.008,
2rq1rk1/p3bppp/bpn1p3/1P6/3P4/P1n2N2/1BB2PPP/R2QR1K1 w - - 0 16,316,1.264,
2rq1rk1/p3bppp/bpn1p3/1P6/3P4/P1nQ1N2/1BB2PPP/R3R1K1 b - - 1 16,292,1.168,
2rq1rk1/p3bp1p/bpn1p1p1/1P6/3P4/P1nQ1N2/1BB2PPP/R3R1K1 w - - 0 17,345,1.38,
2rq1rk1/p3bp1p/bpn1p1p1/1P6/3P4/P1BQ1N2/2B2PPP/R3R1K1 b - - 0 17,318,1.272,
2r2rk1/p1q1bp1p/bpn1p1p1/1P6/3P4/P1BQ1N2/2B2PPP/R3R1K1 w - - 1 18,466,1.864,
2r2rk1/p1q1bp1p/Ppn1p1p1/8/3P4/P1BQ1N2/2B2PPP/R3R1K1 b - - 0 18,422,1.688,
2r2rk1/p1q1bp1p/Pp2p1p1/n7/3P4/P1BQ1N2/2B2PPP/R3R1K1 w - - 1 19,457,1.828,
2r2rk1/p1q1bp1p/Pp2p1p1/B7/3P4/P2Q1N2/2B2PPP/R3R1K1 b - - 0 19,400,1.6,
rnbqkb1r/pppp1pp1/4pn1p/6B1/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 4,55,0.22,
rnbqkb1r/pppp1pp1/4pB1p/8/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq - 0 4,-6,-0.024,
rnb1kb1r/pppp1pp1/4pq1p/8/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 5,39,0.156,
rnb1kb1r/ppp2pp1/3ppq1p/8/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 0 6,59,0.236,
rnb1kb1r/ppp2pp1/3ppq1p/8/3PP3/2N2N2/PPP2PPP/R2QKB1R b KQkq - 1 6,-22,-0.088,
rnb1kb1r/pp3pp1/2pppq1p/8/3PP3/2N2N2/PPP2PPP/R2QKB1R w KQkq - 0 7,72,0.288,
rnb1kb1r/pp3pp1/2pppq1p/4P3/3P4/2N2N2/PPP2PPP/R2QKB1R b KQkq - 0 7,31,0.124,
rnbqkb1r/pp3pp1/2ppp2p/4P3/3P4/2N2N2/PPP2PPP/R2QKB1R w KQkq - 1 8,83,0.332,
rnbqkb1r/pp3pp1/2pPp2p/8/3P4/2N2N2/PPP2PPP/R2QKB1R b KQkq - 0 8,-14,-0.056,
rnbqk2r/pp3pp1/2pbp2p/8/3P4/2N2N2/PPP2PPP/R2QKB1R w KQkq - 0 9,60,0.24,
rnbqk2r/pp3pp1/2pbp2p/8/3PN3/5N2/PPP2PPP/R2QKB1R b KQkq - 1 9,-16,-0.064,
rnbqk2r/pp2bpp1/2p1p2p/8/3PN3/5N2/PPP2PPP/R2QKB1R w KQkq - 2 10,16,0.064,
rnbqk2r/pp2bpp1/2p1p2p/8/3PN3/3B1N2/PPP2PPP/R2QK2R b KQkq - 3 10,-28,-0.112,
r1bqk2r/pp1nbpp1/2p1p2p/8/3PN3/3B1N2/PPP2PPP/R2QK2R w KQkq - 4 11,18,0.072,
r1bqk2r/pp1nbpp1/2p1p2p/8/3PN3/3B1N2/PPP2PPP/R2Q1RK1 b kq - 5 11,-43,-0.172,
r1b1k2r/ppqnbpp1/2p1p2p/8/3PN3/3B1N2/PPP2PPP/R2Q1RK1 w kq - 6 12,25,0.1,
r1b1k2r/ppqnbpp1/2p1p2p/8/2PPN3/3B1N2/PP3PPP/R2Q1RK1 b kq - 0 12,-23,-0.092,
r1b1k2r/p1qnbpp1/1pp1p2p/8/2PPN3/3B1N2/PP3PPP/R2Q1RK1 w kq - 0 13,50,0.2,
r1b1k2r/p1qnbpp1/1pp1p2p/8/2PPN3/3B1N2/PP3PPP/2RQ1RK1 b kq - 1 13,-21,-0.084,
r1b2rk1/p1qnbpp1/1pp1p2p/8/2PPN3/3B1N2/PP3PPP/2RQ1RK1 w - - 2 14,0,0,
r1b2rk1/p1qnbpp1/1pp1p2p/3P4/2P1N3/3B1N2/PP3PPP/2RQ1RK1 b - - 0 14,7,0.028,
r1b2rk1/p1q1bpp1/1pp1p2p/2nP4/2P1N3/3B1N2/PP3PPP/2RQ1RK1 w - - 1 15,46,0.184,
r1b2rk1/p1q1bpp1/1pp1p2p/2NP4/2P5/3B1N2/PP3PPP/2RQ1RK1 b - - 0 15,-57,-0.228,
r1b2rk1/p1q1bpp1/2p1p2p/2pP4/2P5/3B1N2/PP3PPP/2RQ1RK1 w - - 0 16,15,0.06,
r1b2rk1/p1q1bpp1/2P1p2p/2p5/2P5/3B1N2/PP3PPP/2RQ1RK1 b - - 0 16,-76,-0.304,
r1b2rk1/p3bpp1/2q1p2p/2p5/2P5/3B1N2/PP3PPP/2RQ1RK1 w - - 0 17,-20,-0.08,
r1b2rk1/p3bpp1/2q1p2p/2p1N3/2P5/3B4/PP3PPP/2RQ1RK1 b - - 1 17,-73,-0.292,
r1b2rk1/p1q1bpp1/4p2p/2p1N3/2P5/3B4/PP3PPP/2RQ1RK1 w - - 2 18,-50,-0.2,
r1b2rk1/p1q1bpp1/4p2p/2p1N3/2P5/3B4/PP2QPPP/2R2RK1 b - - 3 18,-91,-0.364,
r4rk1/pbq1bpp1/4p2p/2p1N3/2P5/3B4/PP2QPPP/2R2RK1 w - - 4 19,-49,-0.196,
r4rk1/pbq1bpp1/4p2p/2p1N3/2P5/3B4/PP2QPPP/3R1RK1 b - - 5 19,-94,-0.376,
3r1rk1/pbq1bpp1/4p2p/2p1N3/2P5/3B4/PP2QPPP/3R1RK1 w - - 6 20,-62,-0.248,
3r1rk1/pbq1bpp1/4p2p/2p1N3/2P1B3/8/PP2QPPP/3R1RK1 b - - 7 20,-108,-0.432,
3r1rk1/pbq2pp1/4pb1p/2p1N3/2P1B3/8/PP2QPPP/3R1RK1 w - - 8 21,-44,-0.176,
3r1rk1/pbq2pp1/4pb1p/2p1N3/2P1BP2/8/PP2Q1PP/3R1RK1 b - - 0 21,-141,-0.564,
3r1rk1/pbq2p2/4pbpp/2p1N3/2P1BP2/8/PP2Q1PP/3R1RK1 w - - 0 22,0,0,
3r1rk1/pBq2p2/4pbpp/2p1N3/2P2P2/8/PP2Q1PP/3R1RK1 b - - 0 22,-48,-0.192,
3r1rk1/pq3p2/4pbpp/2p1N3/2P2P2/8/PP2Q1PP/3R1RK1 w - - 0 23,0,0,
3r1rk1/pq3p2/4pbpp/2p1N3/2P2P2/1P6/P3Q1PP/3R1RK1 b - - 0 23,-71,-0.284,
3r1rk1/1q3p2/4pbpp/p1p1N3/2P2P2/1P6/P3Q1PP/3R1RK1 w - - 0 24,-20,-0.08,
3r1rk1/1q3p2/4pbpp/p1p1N3/2P2P2/1P5P/P3Q1P1/3R1RK1 b - - 0 24,-51,-0.204,
3r1r2/1q3pk1/4pbpp/p1p1N3/2P2P2/1P5P/P3Q1P1/3R1RK1 w - - 1 25,0,0,
3r1r2/1q3pk1/4pbpp/p1p1N3/2P2P2/1P5P/P3Q1P1/3R1R1K b - - 2 25,-81,-0.324,
3r1r2/1q3pk1/4pbp1/p1p1N2p/2P2P2/1P5P/P3Q1P1/3R1R1K w - - 0 26,-50,-0.2,
3r1r2/1q3pk1/4pbp1/p1p1N2p/2P2P2/1P3R1P/P3Q1P1/3R3K b - - 1 26,-81,-0.324,
5r2/1q3pk1/4pbp1/p1p1N2p/2P2P2/1P3R1P/P3Q1P1/3r3K w - - 0 27,-50,-0.2,
5r2/1q3pk1/4pbp1/p1p1N2p/2P2P2/1P3R1P/P5P1/3Q3K b - - 0 27,-93,-0.372,
5r2/2q2pk1/4pbp1/p1p1N2p/2P2P2/1P3R1P/P5P1/3Q3K w - - 1 28,-57,-0.228,
5r2/2q2pk1/4pbp1/p1p1N2p/2P2P2/1P3R1P/P5P1/4Q2K b - - 2 28,-114,-0.456,
3r4/2q2pk1/4pbp1/p1p1N2p/2P2P2/1P3R1P/P5P1/4Q2K w - - 3 29,-89,-0.356,
3r4/2q2pk1/4pbp1/p1p1N2p/2P2P2/1P1R3P/P5P1/4Q2K b - - 4 29,-111,-0.444,
8/2q2pk1/4pbp1/p1p1N2p/2P2P2/1P1r3P/P5P1/4Q2K w - - 0 30,-61,-0.244,
8/2q2pk1/4pbp1/p1p4p/2P2P2/1P1N3P/P5P1/4Q2K b - - 0 30,-133,-0.532,
8/2q2pk1/4p1p1/p1p4p/2Pb1P2/1P1N3P/P5P1/4Q2K w - - 1 31,-33,-0.132,
8/2q2pk1/4p1p1/p1p4p/2PbQP2/1P1N3P/P5P1/7K b - - 2 31,-119,-0.476,
8/2q2pk1/4p1p1/p1p5/2PbQP1p/1P1N3P/P5P1/7K w - - 0 32,-60,-0.24,
8/2q2pk1/4p1p1/p1p5/2Pb1P1p/1P1N3P/P5P1/4Q2K b - - 1 32,-133,-0.532,
8/2q2pk1/4pbp1/p1p5/2P2P1p/1P1N3P/P5P1/4Q2K w - - 2 33,-79,-0.316,
8/2q2pk1/4pbp1/p1p5/2P2P1p/1P1NQ2P/P5P1/7K b - - 3 33,-128,-0.512,
8/5pk1/3qpbp1/p1p5/2P2P1p/1P1NQ2P/P5P1/7K w - - 4 34,-81,-0.324,
8/5pk1/3qpbp1/p1p1N3/2P2P1p/1P2Q2P/P5P1/7K b - - 5 34,-82,-0.328,
8/5pk1/3qpb2/p1p1N1p1/2P2P1p/1P2Q2P/P5P1/7K w - - 0 35,-71,-0.284,
8/5pk1/3qpb2/p1p3p1/2P2P1p/1P1NQ2P/P5P1/7K b - - 1 35,-188,-0.752,
8/5pk1/3qpb2/p1p5/2P2p1p/1P1NQ2P/P5P1/7K w - - 0 36,-156,-0.624,
8/5pk1/3qpb2/p1p5/2P2N1p/1P2Q2P/P5P1/7K b - - 0 36,-172,-0.688,
8/5pk1/4pb2/p1p5/2Pq1N1p/1P2Q2P/P5P1/7K w - - 1 37,-150,-0.6,
8/5pk1/4pb2/p1p5/2PQ1N1p/1P5P/P5P1/7K b - - 0 37,-139,-0.556,
8/5pk1/4p3/p1p5/2Pb1N1p/1P5P/P5P1/7K w - - 0 38,-182,-0.728,
8/5pk1/4p3/p1p5/2Pb1NPp/1P5P/P7/7K b - g3 0 38,-173,-0.692,
8/5pk1/4p3/p1p5/2Pb1N2/1P4pP/P7/7K w - - 0 39,-190,-0.76,
8/5pk1/4p3/p1p4N/2Pb4/1P4pP/P7/7K b - - 1 39,-246,-0.984,
8/5p2/4p1k1/p1p4N/2Pb4/1P4pP/P7/7K w - - 2 40,-163,-0.652,
8/5p2/4p1k1/p1p5/2Pb4/1P4NP/P7/7K b - - 0 40,-217,-0.868,
8/8/4p1k1/p1p2p2/2Pb4/1P4NP/P7/7K w - - 0 41,-193,-0.772,
8/8/4p1k1/p1p2p2/2Pb4/1P4NP/P5K1/8 b - - 1 41,-262,-1.048,
8/8/4p3/p1p2pk1/2Pb4/1P4NP/P5K1/8 w - - 2 42,-154,-0.616,
8/8/4p3/p1p2pk1/2Pb4/1P3KNP/P7/8 b - - 3 42,-233,-0.932,
8/8/4p3/p1p1bpk1/2P5/1P3KNP/P7/8 w - - 4 43,-197,-0.788,
8/8/4p3/p1p1bpk1/2P5/1P3K1P/P3N3/8 b - - 5 43,-318,-1.272,
8/8/4p3/p1p1bp2/2P4k/1P3K1P/P3N3/8 w - - 6 44,-262,-1.048,
rnbqk1nr/pp1p1ppp/4p3/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,120,0.48,
rnbqk1nr/pp1p1ppp/4p3/2b5/4P3/1N6/PPP2PPP/RNBQKB1R b KQkq - 2 5,26,0.104,
rnbqk1nr/pp1p1ppp/1b2p3/8/4P3/1N6/PPP2PPP/RNBQKB1R w KQkq - 3 6,91,0.364,
